firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum
1.8,1.2,left,2.3,3.3,4.5,0.173680259
3.6,3.2,left,4.1,5.1,8.3,0.414584483
2.5,1.5,left,3,4,5.5,0.148607464
1.8,2.7,right,2.3,3.3,6,0.13554984
1.2,1.8,right,1.7,2.7,4.5,0.309174352
8.8,9.9,right,9.3,10.3,20.2,0.700929953
3.3,4.4,right,3.8,4.8,9.2,0.705723743
3.5,2.1,left,4,5,7.1,0.544523215
1.4,0.7,left,1.9,2.9,3.6,0.53553232
4.4,3.3,left,4.9,5.9,9.2,0.255641654
3.2,3.6,right,3.7,4.7,8.3,0.140100939
2.8,2.1,left,3.3,4.3,6.4,0.019093293
0.9,1.8,right,1.4,2.4,4.2,0.461070472
2.1,2.8,right,2.6,3.6,6.4,0.227616012
0.7,1.4,right,1.2,2.2,3.6,0.436550891
1.8,0.9,left,2.3,3.3,4.2,0.028891147
2.7,1.8,left,3.2,4.2,6,0.277400549
9.9,8.8,left,10.4,11.4,20.2,0.960784872
2.1,3.5,right,2.6,3.6,7.1,0.609327094
1.5,2.5,right,2,3,5.5,0.487304505
