firstTime,secondTime,corrAns,plusStart,secondStart,respStart,randNum
9.9,8.8,left,10.4,11.4,20.2,0.600513068
1.5,2.5,right,2,3,5.5,0.805142221
0.7,1.4,right,1.2,2.2,3.6,0.70587608
1.2,1.8,right,1.7,2.7,4.5,0.276216099
3.3,4.4,right,3.8,4.8,9.2,0.803512663
2.1,2.8,right,2.6,3.6,6.4,0.267211034
2.8,2.1,left,3.3,4.3,6.4,0.1426323
2.7,1.8,left,3.2,4.2,6,0.15619143
8.8,9.9,right,9.3,10.3,20.2,0.549248995
2.5,1.5,left,3,4,5.5,0.358211186
1.8,0.9,left,2.3,3.3,4.2,0.907401646
3.2,3.6,right,3.7,4.7,8.3,0.402616778
2.1,3.5,right,2.6,3.6,7.1,0.699018652
1.8,2.7,right,2.3,3.3,6,0.859076589
1.4,0.7,left,1.9,2.9,3.6,0.413030013
3.6,3.2,left,4.1,5.1,8.3,0.121983448
4.4,3.3,left,4.9,5.9,9.2,0.790821893
3.5,2.1,left,4,5,7.1,0.149007794
1.8,1.2,left,2.3,3.3,4.5,0.448251948
0.9,1.8,right,1.4,2.4,4.2,0.359385683
