firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,0,0,11,space,1.65403841581,right,1,0.000191430503037,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,1,1,16,,,right,0,0.000193421612494,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,2,2,6,,,right,1,7.11108878022e-05,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,3,3,0,,,right,1,0.000205083793844,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,4,4,12,,,left,1,0.000192283841898,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,5,5,4,,,left,1,0.000205083793844,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,6,6,15,,,right,1,0.000107519663288,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,7,7,2,,,right,1,0.000216177097172,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,8,8,18,,,right,1,0.000191146071302,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,9,9,5,,,right,0,0.000191146071302,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,10,10,7,,,left,1,0.000191430517589,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,11,11,19,,,left,1,0.00019626604626,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,12,12,10,,,left,1,0.00019455938309,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,13,13,13,,,right,0,0.000193421612494,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,14,14,3,,,right,1,0.000199679372599,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,15,15,9,,,right,1,0.000191714963876,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,16,16,14,,,right,1,0.000191146071302,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,17,17,17,,,left,0,0.000187448313227,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,18,18,8,,,left,1,0.000100408564322,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,19,19,1,,,left,1,0.000195697168238,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,0,20,18,,,right,1,0.000193421612494,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,1,1,21,12,,,right,0,0.000186879420653,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,2,22,14,,,left,0,0.000190577178728,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,1,3,23,4,,,right,0,0.000202523806365,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,1,4,24,7,,,right,0,0.000194559397642,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,1,5,25,0,,,left,0,0.000190861625015,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,1,6,26,1,,,right,0,0.00019882604829,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,1,7,27,9,,,right,1,0.000191714963876,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,1,8,28,17,,,right,1,0.00018887053011,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,1,9,29,11,,,right,1,0.000197688277694,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,1,10,30,6,,,right,1,0.000198541602003,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,11,31,2,,,right,1,6.85508857714e-05,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,1,12,32,5,,,right,0,0.000190008286154,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,1,13,33,3,,,left,0,0.000192283841898,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,1,14,34,16,,,right,0,6.05864770478e-05,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,1,15,35,10,,,left,1,0.00014677287254,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,16,36,15,,,left,0,0.00019114605675,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,17,37,19,,,right,0,6.11553550698e-05,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,1,18,38,13,,,left,1,0.000193421612494,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,19,39,8,,,right,0,0.000156159512699,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,0,0,0,16,space,1.43838668166,right,0,0.000205652686418,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,1,1,0,,,left,0,0.00019626604626,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,0,2,2,11,,,right,1,0.000195981614524,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.5,1.5,left,3.0,4.0,5.5,1,0,1,0,0,3,3,1,,,right,0,0.000188301637536,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,0,4,4,9,,,left,0,0.000197688277694,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,2.7,right,2.3,3.3,6.0,1,0,1,0,0,5,5,17,,,right,1,0.000190861625015,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,6,6,4,,,left,1,0.00019228385645,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,0,7,7,6,,,left,0,0.000193706058781,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,8,8,3,,,right,1,0.000221297086682,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,0,9,9,19,,,left,1,0.00022983038798,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.7,1.8,left,3.2,4.2,6.0,1,0,1,0,0,10,10,7,,,left,1,7.70842016209e-05,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,0,11,11,14,,,left,0,0.000202808252652,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,12,12,10,,,right,0,0.000191714963876,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,0,13,13,2,,,right,1,0.000198257155716,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,14,14,18,,,right,1,0.000190292732441,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,0,15,15,13,,,right,0,0.00019882604829,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,0,16,16,5,,,right,0,6.74131297274e-05,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,0,17,17,12,,,right,0,0.00019285271992,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,0,18,18,15,,,right,1,0.000201101589482,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,0,19,19,8,,,right,0,0.000203092698939,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,2.7,right,2.3,3.3,6.0,1,0,1,0,1,0,20,17,,,left,0,0.000202808252652,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,1,1,21,15,,,right,1,0.00019626604626,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,1,2,22,12,,,right,0,0.000197403831407,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,1,3,23,18,,,right,1,0.000208497134736,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
2.5,1.5,left,3.0,4.0,5.5,1,0,1,0,1,4,24,1,,,right,0,0.000200248265173,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,1,5,25,3,,,left,0,0.000824601869681,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,1,6,26,16,,,right,0,0.000211057122215,2018_Dec_04_1650,59.9656475254,TimingTask,001,bevacqua,
