firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,0,0,3,space,9.16050469549,right,1,0.484359101858,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,1,1,10,,,left,1,6.3732604431,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,2,2,11,,,right,1,0.301138659939,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,3,3,7,,,left,1,0.351312413346,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,4,4,17,,,right,1,0.28414963698,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,5,5,14,,,right,1,1.11842367612,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,6,6,9,,,right,1,1.01849003695,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,7,7,12,,,left,1,0.901484886184,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,8,8,8,,,right,0,0.951566479169,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,9,9,5,,,left,1,0.535022099968,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,10,10,4,,,right,0,0.467839412391,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,11,11,2,,,right,1,0.433242984116,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,12,12,15,,,right,1,0.568436092231,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,13,13,1,,,left,1,0.734815706965,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,14,14,19,,,right,0,0.0327006052248,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,15,15,6,,,right,1,0.501282703131,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,16,16,18,,,right,1,0.401066326071,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,17,17,16,,,left,1,0.801365220454,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,18,18,13,,,left,1,0.601458689198,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,19,19,0,,,right,1,0.884789694101,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,0,20,19,,,right,0,0.484399777837,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,1,21,8,,,left,1,0.951833288185,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,1,2,22,12,,,left,1,0.868201169185,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,1,3,23,16,,,right,0,1.63574677939,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,4,24,14,,,right,1,0.651328086387,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,1,5,25,6,,,right,1,0.35084933741,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,1,6,26,0,,,right,1,0.90160947293,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,1,7,27,1,,,right,0,1.83584189788,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,1,8,28,11,,,right,1,0.651328939479,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,1,9,29,7,,,left,1,0.418129020371,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,1,10,30,9,,,right,1,0.5846369192,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,1,11,31,3,,,right,1,0.701107598841,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,1,12,32,4,,,left,1,0.584852243774,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,13,33,2,,,right,1,1.2187504177,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,1,14,34,17,,,right,1,0.751345067285,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,1,15,35,5,,,right,0,2.2363265343,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,1,16,36,13,,,right,0,0.366492368281,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,1,17,37,10,,,left,1,0.718232017476,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,18,38,18,,,right,1,0.367074911483,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,19,39,15,,,right,1,0.668265339918,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,0,0,3,space,2.80363195948,right,1,0.000155875459313,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,0,1,1,16,,,right,0,0.000150186475366,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,0,2,2,11,,,left,0,0.000162702519447,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,0,3,3,13,,,right,0,0.000149333849549,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,4,4,0,,,left,0,0.000164124649018,2018_Dec_04_1653,59.9886527701,TimingTask,001,dak,
