firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,0,0,0,space,7.98357734806,right,1,1.10068317736,2018_Dec_04_1656,None,TimingTask,001,eaw52,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,1,1,15,,,right,1,0.505082443357,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,2,2,11,,,left,0,1.91729168477,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,3,3,10,,,left,1,1.15059994906,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,4,4,1,,,left,1,1.06324353628,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,5,5,12,,,right,0,2.68778359052,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,6,6,8,,,left,1,1.05071122362,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,7,7,17,,,right,1,0.350515639875,2018_Dec_04_1656,None,TimingTask,001,eaw52,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,8,8,4,,,left,1,1.08384637535,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,9,9,6,,,right,1,0.333454980515,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,10,10,2,,,right,1,0.354638369288,2018_Dec_04_1656,None,TimingTask,001,eaw52,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,11,11,13,,,left,1,1.82137351111,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,12,12,7,,,left,1,0.921469027409,2018_Dec_04_1656,None,TimingTask,001,eaw52,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,13,13,18,,,right,1,0.613409481011,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,14,14,16,,,left,1,0.883913902333,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,15,15,9,,,right,1,0.350389631232,2018_Dec_04_1656,None,TimingTask,001,eaw52,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,16,16,14,,,right,1,1.26727683656,2018_Dec_04_1656,None,TimingTask,001,eaw52,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,17,17,5,,,left,1,1.1207831197,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,18,18,3,,,right,1,1.68401670014,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,19,19,19,,,right,0,0.746677695541,2018_Dec_04_1656,None,TimingTask,001,eaw52,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,0,20,15,,,right,1,0.484016814036,2018_Dec_04_1656,None,TimingTask,001,eaw52,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,1,1,21,3,,,right,1,0.863274370087,2018_Dec_04_1656,None,TimingTask,001,eaw52,
