firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,0,0,2,space,1.65089801932,right,1,0.288284931332,2018_Dec_04_1656,None,TimingTask,001,elianar,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,1,1,8,,,left,1,0.504132976755,2018_Dec_04_1656,None,TimingTask,001,elianar,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,2,2,15,,,right,1,0.304521868937,2018_Dec_04_1656,None,TimingTask,001,elianar,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,3,3,11,,,right,1,0.246468480909,2018_Dec_04_1656,None,TimingTask,001,elianar,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,4,4,10,,,left,1,0.56734362524,2018_Dec_04_1656,None,TimingTask,001,elianar,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,5,5,14,,,right,1,0.654750249349,2018_Dec_04_1656,None,TimingTask,001,elianar,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,6,6,17,,,right,1,0.362681639148,2018_Dec_04_1656,None,TimingTask,001,elianar,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,7,7,12,,,left,1,0.929832695518,2018_Dec_04_1656,None,TimingTask,001,elianar,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,8,8,5,,,left,1,0.700474111829,2018_Dec_04_1656,None,TimingTask,001,elianar,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,9,9,19,,,left,1,0.750871395227,2018_Dec_04_1656,None,TimingTask,001,elianar,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,10,10,6,,,right,1,0.434131787624,2018_Dec_04_1656,None,TimingTask,001,elianar,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,11,11,1,,,right,0,0.754751500674,2018_Dec_04_1656,None,TimingTask,001,elianar,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,12,12,16,,,left,1,0.546395720216,2018_Dec_04_1656,None,TimingTask,001,elianar,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,13,13,13,,,left,1,0.79631536454,2018_Dec_04_1656,None,TimingTask,001,elianar,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,14,14,9,,,right,1,0.500669582048,2018_Dec_04_1656,None,TimingTask,001,elianar,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,15,15,7,,,left,1,0.604890565621,2018_Dec_04_1656,None,TimingTask,001,elianar,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,16,16,0,,,right,1,0.317350594094,2018_Dec_04_1656,None,TimingTask,001,elianar,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,17,17,3,,,right,1,0.383843730902,2018_Dec_04_1656,None,TimingTask,001,elianar,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,18,18,4,,,left,1,0.671478138072,2018_Dec_04_1656,None,TimingTask,001,elianar,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,19,19,18,,,left,0,0.663424948929,2018_Dec_04_1656,None,TimingTask,001,elianar,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,1,0,20,16,,,left,1,0.663267082302,2018_Dec_04_1656,None,TimingTask,001,elianar,
