firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,0,0,19,space,0.688342401059,left,1,0.734063484007,2018_Dec_04_1658,None,TimingTask,001,hdaza,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,1,1,15,,,right,1,0.300728093134,2018_Dec_04_1658,None,TimingTask,001,hdaza,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,2,2,4,,,left,1,0.783968180884,2018_Dec_04_1658,None,TimingTask,001,hdaza,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,3,3,7,,,left,1,0.838233415969,2018_Dec_04_1658,None,TimingTask,001,hdaza,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,4,4,10,,,left,1,1.11347070686,2018_Dec_04_1658,None,TimingTask,001,hdaza,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,5,5,8,,,left,1,1.53327306896,2018_Dec_04_1658,None,TimingTask,001,hdaza,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,6,6,11,,,right,1,2.24643868045,2018_Dec_04_1658,None,TimingTask,001,hdaza,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,7,7,1,,,left,1,0.82970661507,2018_Dec_04_1658,None,TimingTask,001,hdaza,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,8,8,18,,,right,1,0.729873328237,2018_Dec_04_1658,None,TimingTask,001,hdaza,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,9,9,2,,,left,0,1.38334308495,2018_Dec_04_1658,None,TimingTask,001,hdaza,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,10,10,3,,,right,1,0.33416827349,2018_Dec_04_1658,None,TimingTask,001,hdaza,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,11,11,13,,,left,1,1.05046732863,2018_Dec_04_1658,None,TimingTask,001,hdaza,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,12,12,12,,,left,1,0.787533696042,2018_Dec_04_1658,None,TimingTask,001,hdaza,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,13,13,0,,,right,1,1.38432185934,2018_Dec_04_1658,None,TimingTask,001,hdaza,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,14,14,17,,,right,1,1.2838906697,2018_Dec_04_1658,None,TimingTask,001,hdaza,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,15,15,14,,,right,1,0.817422014428,2018_Dec_04_1658,None,TimingTask,001,hdaza,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,16,16,5,,,left,1,0.871600209503,2018_Dec_04_1658,None,TimingTask,001,hdaza,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,17,17,9,,,right,1,0.283870189684,2018_Dec_04_1658,None,TimingTask,001,hdaza,
