firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,0,0,5,space,0.788217578316,left,1,1.10048932955,2018_Dec_04_1656,None,TimingTask,001,lau,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,1,1,14,,,right,1,0.879836797249,2018_Dec_04_1656,None,TimingTask,001,lau,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,2,2,7,,,left,1,0.85068808496,2018_Dec_04_1656,None,TimingTask,001,lau,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,3,3,1,,,left,1,1.00059107528,2018_Dec_04_1656,None,TimingTask,001,lau,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,4,4,3,,,right,1,0.717320978642,2018_Dec_04_1656,None,TimingTask,001,lau,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,5,5,11,,,left,0,0.000123733421788,2018_Dec_04_1656,None,TimingTask,001,lau,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,6,6,12,,,right,0,0.000176924513653,2018_Dec_04_1656,None,TimingTask,001,lau,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,7,7,15,,,right,1,0.000178915448487,2018_Dec_04_1656,None,TimingTask,001,lau,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,8,8,8,,,left,1,0.000175786437467,2018_Dec_04_1656,None,TimingTask,001,lau,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,9,9,17,,,right,1,0.000178346410394,2018_Dec_04_1656,None,TimingTask,001,lau,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,10,10,13,,,left,1,0.988246762194,2018_Dec_04_1656,None,TimingTask,001,lau,
