firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,0,0,6,space,0.467630933272,right,1,0.454791964497,2018_Dec_04_1655,None,TimingTask,001,mmi,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,1,1,13,,,left,1,0.821466453373,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,2,2,1,,,left,1,0.871344355633,2018_Dec_04_1655,None,TimingTask,001,mmi,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,3,3,9,,,right,1,0.637802382233,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,4,4,5,,,left,1,0.73798655998,2018_Dec_04_1655,None,TimingTask,001,mmi,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,5,5,19,,,left,1,0.754821120063,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,6,6,18,,,right,1,0.483961742371,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,7,7,10,,,left,1,1.58808348444,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,8,8,11,,,right,1,0.679822506616,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,9,9,7,,,left,1,1.26703758212,2018_Dec_04_1655,None,TimingTask,001,mmi,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,10,10,16,,,left,1,0.817120995373,2018_Dec_04_1655,None,TimingTask,001,mmi,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,11,11,0,,,right,1,0.400236657821,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,12,12,8,,,left,1,0.729830115568,2018_Dec_04_1655,None,TimingTask,001,mmi,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,13,13,4,,,right,0,0.800631466787,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,14,14,12,,,left,1,1.44631438213,2018_Dec_04_1655,None,TimingTask,001,mmi,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,15,15,3,,,right,1,0.380093155662,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,16,16,17,,,right,1,0.517213297775,2018_Dec_04_1655,None,TimingTask,001,mmi,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,17,17,15,,,right,1,0.517144177807,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,18,18,2,,,right,1,0.600972799817,2018_Dec_04_1655,None,TimingTask,001,mmi,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,19,19,14,,,right,1,0.471402951051,2018_Dec_04_1655,None,TimingTask,001,mmi,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,1,0,20,9,,,right,1,0.721326080151,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,1,1,21,11,,,right,1,1.14628323563,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,1,2,22,6,,,right,1,0.467445190996,2018_Dec_04_1655,None,TimingTask,001,mmi,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,1,3,23,4,,,right,0,1.43793635536,2018_Dec_04_1655,None,TimingTask,001,mmi,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,1,4,24,3,,,right,1,0.433917724527,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,5,25,8,,,left,1,1.25462613348,2018_Dec_04_1655,None,TimingTask,001,mmi,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,1,6,26,16,,,left,1,0.635468515567,2018_Dec_04_1655,None,TimingTask,001,mmi,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,7,27,15,,,right,1,0.537968070945,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,1,8,28,12,,,left,1,0.617289955495,2018_Dec_04_1655,None,TimingTask,001,mmi,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,1,9,29,0,,,right,1,0.538001066772,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,1,10,30,5,,,left,1,0.750568391057,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,1,11,31,7,,,left,1,0.937965795631,2018_Dec_04_1655,None,TimingTask,001,mmi,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,12,32,14,,,right,1,0.534002062166,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,13,33,18,,,left,0,1.48361329781,2018_Dec_04_1655,None,TimingTask,001,mmi,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,1,14,34,13,,,left,1,0.617022862425,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,1,15,35,10,,,left,1,0.833960391115,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,16,36,2,,,right,1,0.850585315609,2018_Dec_04_1655,None,TimingTask,001,mmi,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,1,17,37,17,,,right,1,0.833908622153,2018_Dec_04_1655,None,TimingTask,001,mmi,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,1,18,38,1,,,left,1,0.750462577678,2018_Dec_04_1655,None,TimingTask,001,mmi,
