firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,0,0,16,space,1.15516264946,left,1,0.934137210716,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,1,1,11,,,right,1,0.571240066318,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,2,2,17,,,right,1,0.313370275078,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,3,3,12,,,left,1,1.07140973723,2018_Dec_04_1655,None,TimingTask,001,mmm08,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,4,4,14,,,right,1,0.650732003152,2018_Dec_04_1655,None,TimingTask,001,mmm08,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,5,5,0,,,right,1,1.33398935664,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,6,6,18,,,right,1,0.367675524205,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,7,7,8,,,left,1,1.40058743441,2018_Dec_04_1655,None,TimingTask,001,mmm08,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,8,8,3,,,right,1,0.305614617188,2018_Dec_04_1655,None,TimingTask,001,mmm08,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,9,9,9,,,right,1,0.721550949616,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,10,10,5,,,left,1,0.600996920373,2018_Dec_04_1655,None,TimingTask,001,mmm08,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,11,11,13,,,right,0,0.446715479251,2018_Dec_04_1655,None,TimingTask,001,mmm08,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,12,12,4,,,left,1,0.70493286103,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,13,13,2,,,left,0,1.04659481789,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,14,14,1,,,right,0,0.717558774166,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,15,15,10,,,right,0,0.834114369936,2018_Dec_04_1655,None,TimingTask,001,mmm08,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,16,16,19,,,right,0,0.388203299139,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,17,17,6,,,right,1,0.351030129241,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,18,18,7,,,right,0,0.804867239902,2018_Dec_04_1655,None,TimingTask,001,mmm08,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,19,19,15,,,right,1,0.388268152485,2018_Dec_04_1655,None,TimingTask,001,mmm08,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,1,0,20,1,,,left,1,0.563189724227,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,1,21,2,,,right,1,0.630009383895,2018_Dec_04_1655,None,TimingTask,001,mmm08,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,2,22,14,,,right,1,0.546578177949,2018_Dec_04_1655,None,TimingTask,001,mmm08,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,1,3,23,16,,,left,1,0.529932213947,2018_Dec_04_1655,None,TimingTask,001,mmm08,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,4,24,19,,,right,0,0.93802385754,2018_Dec_04_1655,None,TimingTask,001,mmm08,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,1,5,25,10,,,left,1,0.69649311481,2018_Dec_04_1655,None,TimingTask,001,mmm08,
