firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,0,0,9,space,1.70065132063,left,0,0.000159004470333,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,1,1,17,,,right,1,0.000160142080858,2018_Dec_04_1653,None,TimingTask,001,vzb,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,2,2,14,,,right,1,0.000174080021679,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,3,3,3,,,right,1,0.000159288756549,2018_Dec_04_1653,None,TimingTask,001,vzb,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,4,4,13,,,left,1,0.000157297821715,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,5,5,15,,,right,1,0.000160995637998,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,6,6,16,,,left,1,0.767290377291,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,7,7,2,,,right,1,0.254912211793,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,8,8,1,,,left,1,0.000158151146024,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,9,9,5,,,left,1,0.550466403598,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,10,10,0,,,right,1,6.65599945933e-05,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,11,11,7,,,left,1,0.000160711118951,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,12,12,12,,,left,1,9.07911677752,2018_Dec_04_1653,None,TimingTask,001,vzb,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,13,13,4,,,left,1,0.654842978111,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,14,14,10,,,right,0,0.733550155768,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,15,15,19,,,left,1,0.546785124345,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,16,16,11,,,right,1,0.56713285204,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,17,17,6,,,right,1,0.338004668243,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,18,18,18,,,right,1,0.863376821158,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,19,19,8,,,left,1,0.688025973039,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,1,0,20,1,,,left,1,1.2671566885,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,1,1,21,3,,,right,1,0.417446565581,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,1,2,22,11,,,right,1,0.933894276619,2018_Dec_04_1653,None,TimingTask,001,vzb,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,1,3,23,13,,,right,0,0.788127918029,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,4,24,2,,,right,1,0.500646826345,2018_Dec_04_1653,None,TimingTask,001,vzb,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,5,25,14,,,right,1,0.383929917356,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,1,6,26,5,,,left,1,0.983918369049,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,1,7,27,7,,,left,1,0.721387314843,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,8,28,18,,,right,1,0.346555919154,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,1,9,29,6,,,right,1,0.367374971043,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,1,10,30,0,,,right,1,1.23806485673,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,1,11,31,12,,,left,1,1.10022738483,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,1,12,32,17,,,right,1,0.488303647609,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,1,13,33,10,,,left,1,0.833971816115,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,14,34,15,,,right,1,0.517263781745,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,1,15,35,16,,,right,0,0.350075064693,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,1,16,36,9,,,right,1,8.19198321551e-05,2018_Dec_04_1653,None,TimingTask,001,vzb,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,1,17,37,4,,,right,0,0.000171520048752,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,18,38,8,,,right,0,0.000171804567799,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,19,39,19,,,right,0,0.000156444497406,2018_Dec_04_1653,None,TimingTask,001,vzb,
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,0,0,0,15,space,2.6130666344,right,1,0.483586138114,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,0,1,1,12,,,right,0,0.871197049972,2018_Dec_04_1653,None,TimingTask,001,vzb,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,2,2,4,,,left,1,0.000158151146024,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,3,3,10,,,left,1,1.20055176527,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.5,1.5,left,3.0,4.0,5.5,1,0,1,0,0,4,4,1,,,right,0,1.32996058185,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,0,5,5,11,,,right,1,0.417206494603,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,0,6,6,16,,,right,0,0.550145550165,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,0,7,7,8,,,left,1,0.717344222823,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,2.7,right,2.3,3.3,6.0,1,0,1,0,0,8,8,17,,,right,1,0.433993832208,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,0,9,9,2,,,right,1,0.838154286146,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,10,10,18,,,right,1,0.217418462504,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,0,11,11,5,,,left,1,0.613119256683,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,0,12,12,19,,,right,0,0.263217702974,2018_Dec_04_1653,None,TimingTask,001,vzb,
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,0,13,13,13,,,right,0,0.304561122321,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,14,14,3,,,right,1,5.88351946441,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,0,15,15,6,,,right,1,0.0798187861219,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.7,1.8,left,3.2,4.2,6.0,1,0,1,0,0,16,16,7,,,right,0,0.683944480959,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,17,17,0,,,right,1,0.550705905538,2018_Dec_04_1653,None,TimingTask,001,vzb,
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,0,18,18,14,,,left,0,0.000169244362041,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,0,19,19,9,,,right,1,0.000172088621184,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,3.5,right,2.6,3.6,7.1,1,0,1,0,1,0,20,6,,,right,1,0.35039790906,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,0.9,left,2.3,3.3,4.2,1,0,1,0,1,1,21,5,,,left,1,3.25035768864,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,1,2,22,19,,,right,0,0.388020511949,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.2,3.6,right,3.7,4.7,8.3,1,0,1,0,1,3,23,9,,,right,1,0.000172657892108,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,1,4,24,3,,,right,1,0.517281417269,2018_Dec_04_1653,None,TimingTask,001,vzb,
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,1,5,25,13,,,left,1,0.950097365305,2018_Dec_04_1653,None,TimingTask,001,vzb,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,1,6,26,4,,,right,0,0.250601741951,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,1,7,27,11,,,right,1,0.346570710186,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,1,8,28,8,,,right,0,0.567173243035,2018_Dec_04_1653,None,TimingTask,001,vzb,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,1,9,29,16,,,right,0,0.000157582107931,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.7,1.8,left,3.2,4.2,6.0,1,0,1,0,1,10,30,7,,,right,0,0.000170382205397,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,1,11,31,0,,,right,1,0.000160142080858,2018_Dec_04_1653,None,TimingTask,001,vzb,
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,1,12,32,14,,,left,0,0.000158151146024,2018_Dec_04_1653,None,TimingTask,001,vzb,
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,1,13,33,15,,,left,0,0.000159004470333,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,1,14,34,10,,,right,0,0.000171519815922,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,1.2,left,2.3,3.3,4.5,1,0,1,0,1,15,35,12,,,left,1,0.000157582107931,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.5,1.5,left,3.0,4.0,5.5,1,0,1,0,1,16,36,1,,,left,1,0.000178631162271,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.2,1.8,right,1.7,2.7,4.5,1,0,1,0,1,17,37,2,,,right,1,0.000160711118951,2018_Dec_04_1653,None,TimingTask,001,vzb,
1.8,2.7,right,2.3,3.3,6.0,1,0,1,0,1,18,38,17,,,left,0,0.4631803839,2018_Dec_04_1653,None,TimingTask,001,vzb,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,1,19,39,18,,,right,1,0.000156728783622,2018_Dec_04_1653,None,TimingTask,001,vzb,
,,,,,,1,0,1,0,,,,,,,,,,2018_Dec_04_1653,None,TimingTask,001,vzb,
