firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,0,0,9,space,1.77177921869,right,1,1.6298765908,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,1,1,7,,,left,1,1.36696977075,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,0,2,2,16,,,left,1,0.81307290704,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,3,3,15,,,right,1,0.463323986623,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,4,4,0,,,right,1,0.433363427641,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,5,5,18,,,right,1,0.687936017988,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,6,6,17,,,right,1,0.983382741455,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,7,7,19,,,left,1,1.29658706207,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,8,8,12,,,right,0,1.36322078994,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,0,9,9,8,,,left,1,0.679310233099,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,10,10,5,,,left,1,0.679961326998,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,11,11,13,,,left,1,0.637610926293,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,12,12,14,,,left,0,0.98385207518,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,0,13,13,10,,,left,1,0.596615904709,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,14,14,3,,,right,1,0.450106410543,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,15,15,6,,,right,1,0.463123737602,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,16,16,4,,,right,0,0.688166133827,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,0,17,17,2,,,right,1,0.688212214038,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,18,18,11,,,right,1,0.567565568723,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,0,19,19,1,,,right,0,1.24642353458,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,1,0,20,3,,,right,1,0.413351321593,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.5,1.5,left,3.0,4.0,5.5,0,0,0,0,1,1,21,1,,,left,1,0.854759413982,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,1,2,22,7,,,right,0,0.767089863541,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,1,3,23,12,,,left,1,0.779859438771,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.4,0.7,left,1.9,2.9,3.6,0,0,0,0,1,4,24,10,,,left,1,1.29653045745,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,1,5,25,17,,,right,1,0.4798701338,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,1,6,26,0,,,right,1,0.546864822274,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,1,7,27,11,,,right,1,0.396697938442,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,1,8,28,15,,,right,1,0.363394016633,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.2,1.8,right,1.7,2.7,4.5,0,0,0,0,1,9,29,2,,,left,0,0.863281660946,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,1,10,30,13,,,left,1,0.867625415791,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.5,2.1,left,4.0,5.0,7.1,0,0,0,0,1,11,31,16,,,left,1,0.863308114465,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,1,12,32,5,,,left,1,0.967225714354,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,1,13,33,19,,,left,1,0.717456256738,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,1,14,34,9,,,right,1,0.417384462897,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,1,15,35,18,,,right,1,1.00085731619,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,1,16,36,14,,,right,1,0.671376217389,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.8,2.1,left,3.3,4.3,6.4,0,0,0,0,1,17,37,8,,,right,0,1.73392930184,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,1,18,38,4,,,left,1,1.0881073107,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,1,19,39,6,,,right,1,0.41331661935,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
,,,,,,0,0,0,0,,,,,,,,,,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
4.4,3.3,left,4.9,5.9,9.2,1,0,1,0,0,0,0,13,space,3.70098662493,left,1,0.954758503707,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.5,2.1,left,4.0,5.0,7.1,1,0,1,0,0,1,1,16,,,left,1,0.750608569477,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.6,3.2,left,4.1,5.1,8.3,1,0,1,0,0,2,2,19,,,right,0,0.584177707322,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
3.3,4.4,right,3.8,4.8,9.2,1,0,1,0,0,3,3,3,,,right,1,0.450816669036,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.4,0.7,left,1.9,2.9,3.6,1,0,1,0,0,4,4,10,,,left,1,1.18820368056,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.7,1.8,left,3.2,4.2,6.0,1,0,1,0,0,5,5,7,,,left,1,0.705029152567,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.5,2.5,right,2.0,3.0,5.5,1,0,1,0,0,6,6,11,,,right,1,0.41330581042,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
8.8,9.9,right,9.3,10.3,20.2,1,0,1,0,0,7,7,14,,,right,1,0.700559673365,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.5,1.5,left,3.0,4.0,5.5,1,0,1,0,0,8,8,1,,,left,1,0.721638731426,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.1,2.8,right,2.6,3.6,6.4,1,0,1,0,0,9,9,18,,,right,1,0.633905465249,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
0.9,1.8,right,1.4,2.4,4.2,1,0,1,0,0,10,10,15,,,right,1,0.45111050061,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
1.8,2.7,right,2.3,3.3,6.0,1,0,1,0,0,11,11,17,,,right,1,0.329853152391,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
2.8,2.1,left,3.3,4.3,6.4,1,0,1,0,0,12,12,8,,,left,1,0.563240871765,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
0.7,1.4,right,1.2,2.2,3.6,1,0,1,0,0,13,13,0,,,right,1,0.380252484698,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
9.9,8.8,left,10.4,11.4,20.2,1,0,1,0,0,14,14,4,,,left,1,1.26681964099,2018_Dec_04_1658,60.1051440235,TimingTask,001,yeohde,
