firstTime,secondTime,corrAns,plusStart,secondStart,respStart,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,rtRound1_3.keys,rtRound1_3.corr,rtRound1_3.rt,date,frameRate,expName,session,participant,
3.6,3.2,left,4.1,5.1,8.3,0,0,0,0,0,0,0,19,space,0.646807993762,left,1,8.14998324611,2018_Dec_04_1706,None,TimingTask,001,zhengk,
4.4,3.3,left,4.9,5.9,9.2,0,0,0,0,0,1,1,13,,,left,1,0.413291117875,2018_Dec_04_1706,None,TimingTask,001,zhengk,
8.8,9.9,right,9.3,10.3,20.2,0,0,0,0,0,2,2,14,,,right,1,0.000170382205397,2018_Dec_04_1706,None,TimingTask,001,zhengk,
3.2,3.6,right,3.7,4.7,8.3,0,0,0,0,0,3,3,9,,,right,1,0.000157582340762,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.8,0.9,left,2.3,3.3,4.2,0,0,0,0,0,4,4,5,,,right,0,0.000157013302669,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.1,3.5,right,2.6,3.6,7.1,0,0,0,0,0,5,5,6,,,right,1,1.1677590278,2018_Dec_04_1706,None,TimingTask,001,zhengk,
3.3,4.4,right,3.8,4.8,9.2,0,0,0,0,0,6,6,3,,,right,1,0.771431033965,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.8,1.2,left,2.3,3.3,4.5,0,0,0,0,0,7,7,12,,,left,1,0.867206295487,2018_Dec_04_1706,None,TimingTask,001,zhengk,
0.7,1.4,right,1.2,2.2,3.6,0,0,0,0,0,8,8,0,,,right,1,1.11756057106,2018_Dec_04_1706,None,TimingTask,001,zhengk,
0.9,1.8,right,1.4,2.4,4.2,0,0,0,0,0,9,9,15,,,right,1,0.350500878179,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.8,2.7,right,2.3,3.3,6.0,0,0,0,0,0,10,10,17,,,right,1,0.146732616005,2018_Dec_04_1706,None,TimingTask,001,zhengk,
9.9,8.8,left,10.4,11.4,20.2,0,0,0,0,0,11,11,4,,,left,1,0.000157297588885,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.1,2.8,right,2.6,3.6,6.4,0,0,0,0,0,12,12,18,,,right,1,0.000166684389114,2018_Dec_04_1706,None,TimingTask,001,zhengk,
1.5,2.5,right,2.0,3.0,5.5,0,0,0,0,0,13,13,11,,,right,1,0.000156444497406,2018_Dec_04_1706,None,TimingTask,001,zhengk,
2.7,1.8,left,3.2,4.2,6.0,0,0,0,0,0,14,14,7,,,right,0,0.00016782223247,2018_Dec_04_1706,None,TimingTask,001,zhengk,
